55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
40,10,0,1.788
40.2,10,1,1.878
45,10,0,2.022
45.2,10,1,2.112
50,10,0,2.256
50.2,10,1,2.346
55,10,0,2.49
55.2,10,1,2.58
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
10,10,0,0.384
10.2,10,1,0.474
15,10,0,0.618
15.2,10,1,0.708
20,10,0,0.852
20.2,10,1,0.942
25,10,0,1.086
25.2,10,1,1.176
30,10,0,1.32
30.2,10,1,1.41
35,10,0,1.554
35.2,10,1,1.644
0,11,0,0
0,11,1,0
5,11,0,0.15
5.2,11,1,0.24
40,10,0,1.788
40.2,10,1,1.878
0,11,0,0
0,11,1,0
5,11,0,0.15
5.2,11,1,0.24
45,10,0,2.022
45.2,10,1,2.112
10,11,0,0.384
10.2,11,1,0.474
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
15,11,0,0.618
15.2,11,1,0.708
20,11,0,0.852
20.2,11,1,0.942
10,10,0,0.384
10.2,10,1,0.474
25,11,0,1.086
25.2,11,1,1.176
15,10,0,0.618
15.2,10,1,0.708
30,11,0,1.32
30.2,11,1,1.41
0,10,0,0
0,10,1,0
5,10,0,0.15
5.2,10,1,0.24
0,11,0,0
0,11,1,0
5,11,0,0.15
5.2,11,1,0.24
10,10,0,0.384
10.2,10,1,0.474
10,11,0,0.384
10.2,11,1,0.474
15,10,0,0.618
15.2,10,1,0.708
15,11,0,0.618
15.2,11,1,0.708
20,11,0,0.852
20.2,11,1,0.942
20,10,0,0.852
20.2,10,1,0.942
25,11,0,1.086
25.2,11,1,1.176
25,10,0,1.086
25.2,10,1,1.176
30,11,0,1.32
30.2,11,1,1.41
35,11,0,1.554
35.2,11,1,1.644
30,10,0,1.32
30.2,10,1,1.41
40,11,0,1.788
40.2,11,1,1.878
45,11,0,2.022
45.2,11,1,2.112
35,10,0,1.554
35.2,10,1,1.644
50,11,0,2.256
50.2,11,1,2.346
55,11,0,2.49
55.2,11,1,2.58
40,10,0,1.788
40.2,10,1,1.878
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
5,10,0,0.15
time,node_id,state,total_energy
0,11,0,0
time,node_id,state,total_energy
0,11,1,0
time,node_id,state,total_energy
5.2,10,1,0.24
time,node_id,state,total_energy
5,11,0,0.15
time,node_id,state,total_energy
5.2,11,1,0.24
time,node_id,state,total_energy
10,11,0,0.384
time,node_id,state,total_energy
10.2,11,1,0.474
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
5,10,0,0.15
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
5,10,0,0.15
time,node_id,state,total_energy
5.2,10,1,0.24
time,node_id,state,total_energy
10,10,0,0.384
time,node_id,state,total_energy
10.2,10,1,0.474
time,node_id,state,total_energy
0,10,0,0
time,node_id,state,total_energy
0,10,1,0
time,node_id,state,total_energy
5,10,0,0.15
time,node_id,state,total_energy
0,11,0,0
